State_proved,Mean_time,Mean_profit,Mean_distance
0,2.6321486949920656,48.62,21.52
1,2.519380521774292,63.98,38.800000000000004
2,2.5246560096740724,23.54,58.999999999999986
3,2.5740825176239013,28.439999999999998,49.32000000000001
4,2.531605768203735,27.439999999999998,81.86
5,2.528333902359009,33.64,44.8
6,2.5156476974487303,40.5,57.2
7,2.622769594192505,43.620000000000005,45.919999999999995
8,2.5777699947357178,30.119999999999997,38.32
9,2.5449268341064455,43.92,37.12
