State_proved,Mean_time,Mean_profit,Mean_distance
0,0.10325126647949219,89.0,30.080000000000002
1,0.04675998687744141,103.4,55.36
2,0.10617651939392089,86.0,62.1
3,0.038640308380126956,75.0,55.2
4,0.07660346031188965,80.0,65.9
5,0.05368952751159668,80.0,53.5
6,0.07258272171020508,75.8,66.14
7,0.08493576049804688,93.2,51.82000000000001
8,0.026049423217773437,83.0,54.3
9,0.0619232177734375,96.0,49.7
