Time,Profit,Seed
0.28518104553222656,69,0
0.36084866523742676,78,0
0.2819066047668457,71,0
0.3019390106201172,72,0
0.34725022315979004,77,0
0.3761141300201416,82,0
0.40786027908325195,78,0
0.3161959648132324,77,0
0.36937975883483887,82,0
0.33666372299194336,84,0
0.3332078456878662,82,0
0.3516576290130615,72,0
0.3298964500427246,64,0
0.3344228267669678,82,0
0.24661588668823242,67,0
0.44640254974365234,83,0
0.4219386577606201,77,0
0.27464866638183594,69,0
0.33826160430908203,72,0
0.32102370262145996,78,0
0.2990107536315918,92,1
0.2946352958679199,97,1
0.30135083198547363,87,1
0.3345613479614258,97,1
0.4286534786224365,93,1
0.2873976230621338,92,1
0.28731679916381836,92,1
0.41446542739868164,102,1
0.34661126136779785,94,1
0.31902194023132324,88,1
0.38100600242614746,99,1
0.34290242195129395,93,1
0.2721993923187256,86,1
0.4988691806793213,102,1
0.36070752143859863,93,1
0.3773152828216553,99,1
0.5174810886383057,100,1
0.4247918128967285,96,1
0.321990966796875,95,1
0.30681633949279785,99,1
0.3654649257659912,86,2
0.36470699310302734,86,2
0.36583709716796875,80,2
0.39641451835632324,84,2
0.34682297706604004,80,2
0.3964552879333496,84,2
0.34638094902038574,79,2
0.28946375846862793,80,2
0.3276791572570801,82,2
0.3885633945465088,80,2
0.313030481338501,78,2
0.389448881149292,86,2
0.327836275100708,86,2
0.3376750946044922,76,2
0.3183927536010742,86,2
0.3971242904663086,86,2
0.4216315746307373,80,2
0.3124234676361084,73,2
0.3313789367675781,70,2
0.4244399070739746,79,2
0.24946069717407227,66,3
0.22791361808776855,69,3
0.23856711387634277,69,3
0.24561238288879395,66,3
0.26013612747192383,66,3
0.22721314430236816,69,3
0.24727106094360352,66,3
0.23455238342285156,66,3
0.23984909057617188,63,3
0.22206330299377441,69,3
0.21994781494140625,69,3
0.25815749168395996,63,3
0.22072863578796387,66,3
0.2312471866607666,66,3
0.21700525283813477,69,3
0.22260379791259766,64,3
0.21207904815673828,64,3
0.21653175354003906,66,3
0.21768999099731445,69,3
0.21932125091552734,66,3
0.216871976852417,80,4
0.1927950382232666,80,4
0.20428228378295898,80,4
0.21532511711120605,80,4
0.20840167999267578,80,4
0.21253275871276855,80,4
0.1986558437347412,77,4
0.19251537322998047,80,4
0.24297690391540527,80,4
0.2054154872894287,80,4
0.19192218780517578,80,4
0.19702649116516113,80,4
0.1927335262298584,80,4
0.21470093727111816,77,4
0.2008509635925293,80,4
0.20931720733642578,80,4
0.19335174560546875,80,4
0.19036078453063965,80,4
0.1966552734375,80,4
0.21610426902770996,80,4
