State_proved,Mean_time,Mean_profit,Mean_distance
0,0.2150362491607666,64.64,10.4
1,0.11905293464660645,76.6,27.9
2,0.2811698913574219,51.8,40.8
3,0.12009205818176269,40.5,36.6
4,0.1408623695373535,54.2,53.3
5,0.25773372650146487,52.220000000000006,38.22
6,0.18240675926208497,57.67999999999999,32.58
7,0.1975428581237793,56.3,35.5
8,0.23324317932128907,47.6,34.72
9,0.1728388786315918,54.1,34.0
