State_proved,Mean_time,Mean_profit
"[0, 0, 0]",0.0032699108123779297,92.0
"[0, 0, 250]",0.0029932260513305664,92.0
"[0, 0, 500]",0.0029915571212768555,92.0
"[0, 0, 750]",0.0032930374145507812,92.0
"[0, 1000, 0]",0.0032455921173095703,92.0
"[0, 1000, 250]",0.0035218000411987305,92.0
"[0, 1000, 500]",0.0034905672073364258,92.0
"[0, 1000, 750]",0.00374448299407959,92.0
"[0, 2000, 0]",0.003253936767578125,92.0
"[0, 2000, 250]",0.0036960840225219727,92.0
"[0, 2000, 500]",0.0035022497177124023,92.0
"[0, 2000, 750]",0.0036689043045043945,92.0
"[0, 3000, 0]",0.0034362077713012695,92.0
"[0, 3000, 250]",0.0027467012405395508,92.0
"[0, 3000, 500]",0.003489971160888672,92.0
"[0, 3000, 750]",0.0032846927642822266,92.0
"[0, 4000, 0]",0.0032454729080200195,92.0
"[0, 4000, 250]",0.0032520294189453125,92.0
"[0, 4000, 500]",0.0031893253326416016,92.0
"[0, 4000, 750]",0.0034911632537841797,92.0
"[0, 5000, 0]",0.003430008888244629,92.0
"[0, 5000, 250]",0.003252267837524414,92.0
"[0, 5000, 500]",0.0030001401901245117,92.0
"[0, 5000, 750]",0.003492593765258789,92.0
"[0, 6000, 0]",0.00623774528503418,92.0
"[0, 6000, 250]",0.006238102912902832,92.0
"[0, 6000, 500]",0.004849076271057129,92.0
"[0, 6000, 750]",0.003741621971130371,92.0
"[0, 7000, 0]",0.004017472267150879,92.0
"[0, 7000, 250]",0.004234910011291504,92.0
"[0, 7000, 500]",0.0037511587142944336,92.0
"[0, 7000, 750]",0.003491520881652832,92.0
"[0, 8000, 0]",0.0032448768615722656,92.0
"[0, 8000, 250]",0.003040909767150879,92.0
"[0, 8000, 500]",0.0032464265823364258,92.0
"[0, 8000, 750]",0.003774881362915039,92.0
"[0, 9000, 0]",0.0035108327865600586,92.0
"[0, 9000, 250]",0.0035784244537353516,92.0
"[0, 9000, 500]",0.0037420988082885742,92.0
"[0, 9000, 750]",0.00325620174407959,92.0
"[0, 10000, 0]",0.0037271976470947266,92.0
"[0, 10000, 250]",0.0029916763305664062,92.0
"[0, 10000, 500]",0.0032438039779663086,92.0
"[0, 10000, 750]",0.003244161605834961,92.0
"[10, 0, 0]",0.0033043622970581055,92.0
"[10, 0, 250]",0.745173454284668,54.5
"[10, 0, 500]",1.3890266418457031,76.0
"[10, 0, 750]",2.1044318675994873,76.5
"[10, 1000, 0]",0.0030121803283691406,92.0
"[10, 1000, 250]",0.6804378032684326,94.0
"[10, 1000, 500]",1.4128925800323486,95.0
"[10, 1000, 750]",2.1034756898880005,95.0
"[10, 2000, 0]",0.00324404239654541,92.0
"[10, 2000, 250]",0.6864495277404785,95.0
"[10, 2000, 500]",1.3932334184646606,95.0
"[10, 2000, 750]",2.1123889684677124,93.0
"[10, 3000, 0]",0.003286004066467285,92.0
"[10, 3000, 250]",0.6949585676193237,95.0
"[10, 3000, 500]",1.366539716720581,95.0
"[10, 3000, 750]",2.0973793268203735,95.0
"[10, 4000, 0]",0.003035902976989746,92.0
"[10, 4000, 250]",0.6790225505828857,94.0
"[10, 4000, 500]",1.379832148551941,94.0
"[10, 4000, 750]",2.0740654468536377,95.0
"[10, 5000, 0]",0.003007173538208008,92.0
"[10, 5000, 250]",0.6961100101470947,92.0
"[10, 5000, 500]",1.4340548515319824,93.5
"[10, 5000, 750]",2.191700577735901,95.0
"[10, 6000, 0]",0.0030040740966796875,92.0
"[10, 6000, 250]",0.6896920204162598,94.0
"[10, 6000, 500]",1.3816027641296387,93.5
"[10, 6000, 750]",2.07898211479187,95.0
"[10, 7000, 0]",0.0030025243759155273,92.0
"[10, 7000, 250]",0.6800359487533569,93.5
"[10, 7000, 500]",1.3999505043029785,95.0
"[10, 7000, 750]",2.074083685874939,94.0
"[10, 8000, 0]",0.002794027328491211,92.0
"[10, 8000, 250]",0.699826717376709,95.0
"[10, 8000, 500]",1.3781825304031372,94.0
"[10, 8000, 750]",2.082155466079712,95.0
"[10, 9000, 0]",0.0034787654876708984,92.0
"[10, 9000, 250]",0.713281512260437,94.0
"[10, 9000, 500]",1.4115866422653198,95.0
"[10, 9000, 750]",2.118902802467346,95.0
"[10, 10000, 0]",0.003049135208129883,92.0
"[10, 10000, 250]",0.6894553899765015,94.0
"[10, 10000, 500]",1.3674753904342651,95.0
"[10, 10000, 750]",2.086570620536804,95.0
"[20, 0, 0]",0.003494858741760254,92.0
"[20, 0, 250]",0.6964638233184814,61.0
"[20, 0, 500]",1.400280237197876,46.0
"[20, 0, 750]",2.133236050605774,47.0
"[20, 1000, 0]",0.003241419792175293,92.0
"[20, 1000, 250]",0.6831839084625244,92.0
"[20, 1000, 500]",1.3678607940673828,94.0
"[20, 1000, 750]",2.0955718755722046,95.0
"[20, 2000, 0]",0.0030874013900756836,92.0
"[20, 2000, 250]",0.6760008335113525,90.0
"[20, 2000, 500]",1.3916614055633545,95.0
"[20, 2000, 750]",2.1065561771392822,94.0
"[20, 3000, 0]",0.0020772218704223633,92.0
"[20, 3000, 250]",0.6835342645645142,93.0
"[20, 3000, 500]",1.3689618110656738,93.5
"[20, 3000, 750]",2.10287606716156,95.0
"[20, 4000, 0]",0.0032268762588500977,92.0
"[20, 4000, 250]",0.6932591199874878,95.0
